0,0,0.08897179
0,1,0.08084846
1,0,nan
1,1,0.09507625
2,0,0.08136614
2,1,0.077003494
3,0,0.081347086
3,1,0.077825435
4,0,0.08049306
4,1,0.07916387
4,2,nan
5,0,0.09472793
5,1,0.08357853
6,0,0.07826617
6,1,0.07723524
7,0,0.08307795
7,1,0.07855955
8,0,0.08520673
8,1,0.08634755
8,2,nan
9,0,0.084902406
9,1,0.0804688
10,0,0.09494953
10,1,0.08295573
11,0,0.083572015
11,1,nan
11,2,nan
12,0,0.08745367
12,1,0.08264924
13,0,0.08867899
13,1,0.084167294
13,2,nan
14,0,0.080073185
14,1,0.08823847
15,0,0.079860374
15,1,0.08183794
16,0,0.08426589
16,1,0.08612049
17,0,0.084743135
17,1,0.07931736
18,0,0.09405598
18,1,0.07661117
19,0,0.102299556
19,1,0.09126227
20,0,0.08466723
20,1,0.085957095
21,0,0.08548248
21,1,0.082966484
22,0,0.0883961
22,1,0.07933378
23,0,0.08022855
23,1,0.08606218
24,0,0.08928917
24,1,0.08572127
25,0,nan
25,1,nan
26,0,0.08634738
26,1,0.092426226
27,0,0.08154891
27,1,0.079859614
28,0,0.09097173
28,1,0.08629074
29,0,0.07999531
29,1,0.07919884
30,0,0.08741794
30,1,0.0865719
31,0,0.09223718
31,1,0.08407115
32,0,0.08237678
32,1,0.09095818
33,0,0.08391863
33,1,nan
34,0,0.08515374
34,1,0.08474915
35,0,0.08080517
35,1,0.078534745
36,0,0.08209009
36,1,0.0804034
37,0,0.081259795
37,1,0.08112413
38,0,0.08932707
38,1,0.0842441
39,0,0.08312735
39,1,0.07883241
40,0,0.084292315
40,1,0.08412408
41,0,0.084961146
41,1,0.08258998
42,0,0.08261567
42,1,0.08986035
43,0,nan
43,1,0.08782374
44,0,0.081979215
44,1,0.082455315
45,0,0.083935685
45,1,nan
46,0,0.081334725
46,1,0.080718346
47,0,nan
47,1,nan
48,0,0.08617711
48,1,0.085980125
49,0,0.08208516
49,1,0.08463985
50,0,0.08842856
50,1,0.09054105
51,0,0.0807876
51,1,0.08491902
52,0,0.08690402
52,1,0.0944203
53,0,0.083215885
53,1,0.10381479
54,0,0.077279896
54,1,0.08343806
55,0,0.07995476
55,1,0.08323392
56,0,nan
56,1,nan
57,0,0.08713716
57,1,0.084175535
58,0,0.084327355
58,1,0.090579174
59,0,0.08549296
59,1,0.085640855
60,0,0.08342658
60,1,nan
61,0,0.08814925
61,1,0.07950716
62,0,0.08055586
62,1,0.07897631
63,0,0.08061867
63,1,0.07675803
64,0,0.08050532
64,1,0.08112988
65,0,0.08272821
65,1,0.084912196
66,0,0.08184194
66,1,0.092781395
67,0,0.08943218
67,1,0.08343659
68,0,0.08227814
68,1,0.08315861
69,0,0.08564107
69,1,0.087955415
70,0,0.09234198
70,1,0.08282224
71,0,0.081979305
71,1,nan
72,0,0.0877559
