0,0,0.06843644
0,1,0.066508904
1,0,nan
1,1,0.08365577
2,0,0.054670915
2,1,0.05866986
3,0,0.06796184
3,1,0.066142015
4,0,0.0685233
4,1,0.06799345
4,2,0.066827945
5,0,0.061971508
5,1,0.0599894
6,0,0.064292476
6,1,0.045882948
7,0,0.080572456
7,1,0.06573672
8,0,0.06759814
8,1,0.06899127
8,2,0.07499168
9,0,0.06363005
9,1,0.060868353
10,0,nan
10,1,0.040070847
11,0,0.07455145
11,1,0.072306104
11,2,0.05891093
12,0,0.07503654
12,1,0.07721172
13,0,0.06800099
13,1,0.0645035
13,2,0.063025944
14,0,0.06817118
14,1,0.058502503
15,0,0.067684844
15,1,0.0587287
16,0,0.058188252
16,1,0.055743784
17,0,0.06680467
17,1,0.06257604
18,0,0.056515377
18,1,0.053948876
19,0,0.044799678
19,1,0.044799678
20,0,0.06185098
20,1,0.08217635
21,0,0.07246979
21,1,0.06588608
22,0,0.056781482
22,1,0.055708095
23,0,0.06759417
23,1,0.06818637
24,0,0.06438623
24,1,0.059109297
25,0,nan
25,1,nan
26,0,0.06569755
26,1,0.059025675
27,0,0.06417989
27,1,0.057034057
28,0,0.06843696
28,1,0.055198923
29,0,0.061177235
29,1,0.075414166
30,0,0.070159405
30,1,0.05927365
31,0,0.09144098
31,1,0.07226261
32,0,0.062997766
32,1,0.058674943
33,0,0.051954515
33,1,nan
34,0,0.08336387
34,1,0.0790327
35,0,0.060267624
35,1,0.062131584
36,0,0.06794456
36,1,0.06775181
37,0,0.06001127
37,1,0.06736735
38,0,0.069102205
38,1,0.056684617
39,0,0.062354963
39,1,0.069742106
40,0,0.0585998
40,1,0.062622525
41,0,0.058065243
41,1,0.05686709
42,0,0.06549633
42,1,0.069675244
43,0,nan
43,1,0.07548829
44,0,0.06496142
44,1,0.07224778
45,0,0.059210896
45,1,nan
46,0,0.061470367
46,1,0.06005443
47,0,nan
47,1,nan
48,0,0.06574818
48,1,0.06421285
49,0,0.05911738
49,1,0.060397405
50,0,0.07648006
50,1,0.06863392
51,0,0.06479583
51,1,0.06517061
52,0,0.067684
52,1,0.053468596
53,0,0.060233284
53,1,0.0791212
54,0,0.057062738
54,1,0.07256163
55,0,0.061883904
55,1,0.05913596
56,0,nan
56,1,nan
57,0,0.07735904
57,1,0.068809964
58,0,0.06393551
58,1,0.0518776
59,0,0.071910396
59,1,0.06289421
60,0,0.07240143
60,1,nan
